"Provider ID","Provider Name","Provider Type","Provider Primary Inspection Category","Provider Street Address","Provider Address Line 2","Provider City","Provider Post Code","Provider Local Authority","Provider Region","Service / Population Group","Key Question","Latest Rating","Publication Date","Report Type","URL","Brand ID","Brand Name"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community health services for children, young people and families","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community health services for children, young people and families","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community health services for children, young people and families","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community health services for children, young people and families","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community health services for children, young people and families","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community-based crisis services","Safe","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community-based crisis services","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community-based crisis services","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community-based crisis services","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community-based crisis services","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Community-based crisis services","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","End of life care","Safe","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","End of life care","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","End of life care","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","End of life care","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","End of life care","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","End of life care","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Forensic inpatient/secure wards","Safe","Requires improvement",2017-06-15,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Forensic inpatient/secure wards","Effective","Requires improvement",2017-06-15,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Forensic inpatient/secure wards","Caring","Good",2017-06-15,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Forensic inpatient/secure wards","Responsive","Requires improvement",2017-06-15,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Forensic inpatient/secure wards","Well-led","Inadequate",2017-06-15,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Forensic inpatient/secure wards","Overall","Requires improvement",2017-06-15,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Long stay/rehabilitation mental health wards for working age adults","Safe","Requires improvement",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Long stay/rehabilitation mental health wards for working age adults","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Long stay/rehabilitation mental health wards for working age adults","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Long stay/rehabilitation mental health wards for working age adults","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Long stay/rehabilitation mental health wards for working age adults","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Long stay/rehabilitation mental health wards for working age adults","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Overall","Safe","Requires improvement",2014-07-31,"Provider","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Overall","Effective","Good",2014-07-31,"Provider","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Overall","Caring","Outstanding",2014-07-31,"Provider","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Overall","Responsive","Good",2014-07-31,"Provider","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Overall","Well-led","Good",2014-07-31,"Provider","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Overall","Overall","Good",2014-07-31,"Provider","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Perinatal services","Safe","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Perinatal services","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Perinatal services","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Perinatal services","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Perinatal services","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Perinatal services","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Psychiatric intensive care units and health-based places of safety","Safe","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Psychiatric intensive care units and health-based places of safety","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Psychiatric intensive care units and health-based places of safety","Caring","Requires improvement",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Psychiatric intensive care units and health-based places of safety","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Psychiatric intensive care units and health-based places of safety","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Psychiatric intensive care units and health-based places of safety","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Rapid response liaison psychiatry","Safe","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Rapid response liaison psychiatry","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Rapid response liaison psychiatry","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Rapid response liaison psychiatry","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Rapid response liaison psychiatry","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Rapid response liaison psychiatry","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for older people","Safe","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for older people","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for older people","Caring","Outstanding",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for older people","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for older people","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for older people","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for people with learning disabilities or autism","Safe","Requires improvement",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for people with learning disabilities or autism","Effective","Requires improvement",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for people with learning disabilities or autism","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for people with learning disabilities or autism","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for people with learning disabilities or autism","Well-led","Requires improvement",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Services for people with learning disabilities or autism","Overall","Requires improvement",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Specialist eating disorders services","Safe","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Specialist eating disorders services","Effective","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Specialist eating disorders services","Caring","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Specialist eating disorders services","Responsive","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Specialist eating disorders services","Well-led","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHA","Nottinghamshire Healthcare NHS Foundation Trust","NHS Healthcare Organisation","Mental health - community & residential - NHS","Duncan Macmillan House","Porchester Road","Nottingham","NG3 6AA","Nottingham","East Midlands","Specialist eating disorders services","Overall","Good",2014-07-31,"CoreService","http://www.cqc.org.uk/provider/RHA","-","-"
"RHM","University Hospital Southampton NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Trust Management Offices, Mailpoint 18","Southampton General Hospital, Tremona Road","Southampton","SO16 6YD","Southampton","South East","Overall","Safe","Requires improvement",2017-06-16,"Provider","http://www.cqc.org.uk/provider/RHM","-","-"
"RHM","University Hospital Southampton NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Trust Management Offices, Mailpoint 18","Southampton General Hospital, Tremona Road","Southampton","SO16 6YD","Southampton","South East","Overall","Effective","Good",2017-06-16,"Provider","http://www.cqc.org.uk/provider/RHM","-","-"
"RHM","University Hospital Southampton NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Trust Management Offices, Mailpoint 18","Southampton General Hospital, Tremona Road","Southampton","SO16 6YD","Southampton","South East","Overall","Caring","Outstanding",2017-06-16,"Provider","http://www.cqc.org.uk/provider/RHM","-","-"
"RHM","University Hospital Southampton NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Trust Management Offices, Mailpoint 18","Southampton General Hospital, Tremona Road","Southampton","SO16 6YD","Southampton","South East","Overall","Responsive","Requires improvement",2017-06-16,"Provider","http://www.cqc.org.uk/provider/RHM","-","-"
"RHM","University Hospital Southampton NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Trust Management Offices, Mailpoint 18","Southampton General Hospital, Tremona Road","Southampton","SO16 6YD","Southampton","South East","Overall","Well-led","Outstanding",2017-06-16,"Provider","http://www.cqc.org.uk/provider/RHM","-","-"
"RHM","University Hospital Southampton NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Trust Management Offices, Mailpoint 18","Southampton General Hospital, Tremona Road","Southampton","SO16 6YD","Southampton","South East","Overall","Overall","Good",2017-06-16,"Provider","http://www.cqc.org.uk/provider/RHM","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community dental services","Safe","Good",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community dental services","Effective","Good",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community dental services","Caring","Good",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community dental services","Responsive","Outstanding",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community dental services","Well-led","Outstanding",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community dental services","Overall","Outstanding",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community health inpatient services","Safe","Requires improvement",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community health inpatient services","Effective","Good",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community health inpatient services","Caring","Outstanding",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","NHS Healthcare Organisation","Acute hospital - NHS non-specialist","Northern General Hospital","Herries Road","Sheffield","S5 7AU","Sheffield","Yorkshire and The Humber","Community health inpatient services","Responsive","Good",2016-06-09,"CoreService","http://www.cqc.org.uk/provider/RHQ","-","-"
